Date,Open,High,Low,Close,Volume,Adj Close
2012-11-30,27.26,28.00,26.76,28.00,126947100,28.00
2012-11-29,26.50,27.52,26.16,27.32,88759700,27.32
2012-11-28,25.94,26.49,25.75,26.36,49205600,26.36
2012-11-27,26.04,26.50,25.46,26.15,85760600,26.15
2012-11-26,24.94,26.09,24.81,25.94,123865000,25.94
2012-11-23,24.58,24.68,23.88,24.00,29520900,24.00
2012-11-21,23.22,24.53,23.05,24.32,89862400,24.32
2012-11-20,22.73,23.90,22.70,23.10,46655300,23.10
2012-11-19,23.96,24.12,22.82,22.92,85021300,22.92
2012-11-16,22.25,23.93,22.18,23.56,107182200,23.56
2012-11-15,22.34,22.50,21.65,22.17,78857700,22.17
2012-11-14,20.10,22.50,19.93,22.36,229751000,22.36
2012-11-13,19.61,20.11,19.56,19.86,71775100,19.86
2012-11-12,19.15,20.17,18.87,20.07,67349200,20.07
2012-11-09,19.96,20.00,19.13,19.21,42295500,19.21
2012-11-08,20.52,20.73,19.98,19.99,34254600,19.99
2012-11-07,20.85,20.95,20.37,20.47,33396800,20.47
2012-11-06,21.24,21.37,20.99,21.17,29062700,21.17
2012-11-05,21.10,21.48,20.92,21.25,31806700,21.25
2012-11-02,21.26,21.69,21.07,21.18,38344400,21.18
2012-11-01,21.08,21.44,21.01,21.21,37713900,21.21
2012-10-31,20.82,21.50,20.73,21.11,99378200,21.11
2012-10-26,22.40,22.88,21.88,21.94,73259600,21.94
2012-10-25,23.29,23.31,22.47,22.56,76142000,22.56
2012-10-24,24.13,24.25,22.85,23.23,228949900,23.23
2012-10-23,19.25,19.80,19.10,19.50,78381200,19.50
2012-10-22,19.20,19.43,19.05,19.32,32447300,19.32
2012-10-19,19.00,19.06,18.80,19.00,34835000,19.00
2012-10-18,19.70,19.79,18.89,18.98,52157400,18.98
2012-10-17,19.50,20.48,19.37,19.88,44074500,19.88
2012-10-16,19.68,19.69,19.30,19.48,21834700,19.48
2012-10-15,19.68,19.88,19.49,19.52,20189700,19.52
2012-10-12,19.75,19.80,19.48,19.52,18809400,19.52
2012-10-11,19.88,19.96,19.61,19.75,21817300,19.75
2012-10-10,19.93,19.94,19.45,19.64,39321800,19.64
2012-10-09,20.39,20.55,19.97,20.23,27161800,20.23
2012-10-08,20.40,20.75,20.16,20.40,32236700,20.40
2012-10-05,21.49,21.63,20.88,20.91,40529300,20.91
2012-10-04,22.32,22.40,21.41,21.95,46892100,21.95
2012-10-03,22.30,22.49,21.80,21.83,32000100,21.83
2012-10-02,22.08,22.49,21.82,22.27,29341400,22.27
2012-10-01,22.08,22.59,21.73,21.99,51262700,21.99
2012-09-28,20.57,21.95,20.50,21.66,65486000,21.66
2012-09-27,20.99,21.00,20.16,20.32,30215900,20.32
2012-09-26,20.15,20.78,19.80,20.62,38271900,20.62
2012-09-25,21.20,21.21,20.22,20.28,46291700,20.28
2012-09-24,21.78,21.98,20.36,20.79,79106500,20.79
2012-09-21,22.97,23.24,22.60,22.86,51218100,22.86
2012-09-20,23.02,23.24,22.54,22.59,57248900,22.59
2012-09-19,21.99,23.37,21.77,23.29,78782800,23.29
2012-09-18,21.60,21.98,21.37,21.87,36760500,21.87
2012-09-17,22.67,22.75,21.50,21.52,50667600,21.52
2012-09-14,21.13,22.08,20.90,22.00,72819800,22.00
2012-09-13,20.96,21.48,20.61,20.71,65041600,20.71
2012-09-12,20.76,21.16,20.28,20.93,121584000,20.93
2012-09-11,18.92,19.58,18.85,19.43,50508200,19.43
2012-09-10,19.06,19.20,18.55,18.81,24797800,18.81
2012-09-07,19.10,19.42,18.78,18.98,36371700,18.98
2012-09-06,18.74,19.26,18.72,18.96,46066500,18.96
2012-09-05,18.27,18.75,18.18,18.58,60781800,18.58
2012-09-04,18.08,18.27,17.55,17.73,46622400,17.73
2012-08-31,18.68,18.70,18.03,18.06,58764200,18.06
2012-08-30,19.27,19.45,19.06,19.09,30647500,19.09
2012-08-29,19.32,19.38,19.07,19.10,16124700,19.10
2012-08-28,19.10,19.38,18.95,19.34,25417000,19.34
2012-08-27,19.49,19.53,19.10,19.15,20704000,19.15
2012-08-24,19.52,19.68,19.25,19.41,29622200,19.41
