date,caffeine,sweets,alcohol,relaxation,relaxation_raw,exercise,exercise_raw
2012-06-13,0,1,1,0,235,1,4792
2012-06-14,0,1,1,0,234,0,970
2012-06-15,0,2,3,0,158,0,1024
2012-06-16,0,1,2,0,0,1,3008
2012-06-17,0,1,3,0,0,0,0
2012-06-18,0,3,2,1,332,0,1672
2012-06-19,0,2,2,0,269,1,2090
2012-06-20,0,1,0,0,0,1,4433
2012-06-21,0,1,3,1,321,0,0
2012-06-22,0,1,3,1,327,1,2409
2012-06-23,0,2,3,0,0,1,5919
2012-06-24,0,1,4,0,0,0,0
2012-06-25,0,1,0,0,0,0,0
2012-06-26,0,2,2,1,351,1,2267
2012-06-27,0,1,1,1,314,0,0
2012-06-28,0,2,1,0,0,0,0
2012-06-29,0,1,3,1,354,0,0
2012-06-30,0,2,3,0,0,0,1039
2012-07-01,0,2,6,0,295,0,0
2012-07-02,0,2,3,0,0,0,1287
2012-07-03,0,1,2,1,382,0,0
2012-07-04,0,0,2,0,263,0,0
2012-07-05,0,0,3,1,327,1,4471
2012-07-06,0,1,1,0,224,0,1473
2012-07-07,0,0,4,0,0,1,2082
2012-07-08,0,1,3,0,0,0,0
2012-07-09,0,0,0,0,264,0,1743
2012-07-10,0,2,6,1,337,1,3026
2012-07-11,0,0,0,1,327,0,0
2012-07-12,0,1,2,0,0,0,0
2012-07-13,0,2,4,0,0,0,0
2012-07-14,0,1,4,0,0,0,0
2012-07-15,0,1,6,0,0,1,3281
2012-07-16,1,1,3,1,311,0,0
2012-07-17,0,0,1,0,196,1,2589
2012-07-18,0,1,8,0,0,0,0
2012-07-19,0,0,0,0,0,0,1583
2012-07-20,0,2,0,0,216,1,3784
2012-07-21,0,0,4,0,0,0,975
2012-07-22,0,1,2,0,0,0,1200
2012-07-23,0,1,1,0,0,0,0
2012-07-24,0,0,1,1,377,1,2085
2012-07-25,0,1,4,1,356,1,1984
2012-07-26,0,0,1,0,0,0,0
2012-07-27,0,0,1,0,0,0,0
2012-07-28,0,0,0,0,0,0,0
2012-07-29,0,0,0,0,0,0,0
2012-07-30,0,0,0,0,0,0,0
2012-07-31,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,0
2012-08-02,0,0,0,0,0,0,0
2012-08-03,0,0,0,0,0,0,0
2012-08-04,0,0,0,0,0,0,0
2012-08-05,0,0,1,0,0,0,0
2012-08-06,0,1,3,0,0,0,1399
2012-08-07,0,0,0,0,0,0,0
2012-08-08,0,1,3,0,0,1,2123
2012-08-09,0,1,1,0,0,0,0
2012-08-10,0,0,5,0,0,0,0
2012-08-11,0,0,2,0,0,0,0
2012-08-12,0,1,2,0,0,0,0
2012-08-13,0,2,5,0,0,0,0
2012-08-14,0,0,0,0,0,0,0
2012-08-15,0,3,3,0,0,0,0
2012-08-16,0,1,0,0,0,0,0
2012-08-17,0,0,2,0,0,0,0
2012-08-18,2,2,4,0,0,0,0
2012-08-19,0,0,3,0,0,0,0
2012-08-20,0,1,1,0,0,1,3242
2012-08-21,0,0,0,0,0,0,0
2012-08-22,0,0,3,0,0,0,1314
2012-08-23,0,1,2,0,0,1,3801
2012-08-24,0,0,3,0,0,0,0
2012-08-25,0,2,2,0,0,0,0
2012-08-26,0,1,0,0,0,0,0
2012-08-27,0,1,4,0,0,1,3073
2012-08-28,0,1,0,0,0,0,1570
2012-08-29,0,1,3,0,0,1,1995
2012-08-30,0,2,2,0,0,0,0
2012-08-31,0,0,3,0,0,0,0
2012-09-01,0,0,0,0,0,0,0
2012-09-02,0,0,0,0,0,0,0
2012-09-03,0,0,6,0,0,1,2296
2012-09-04,0,0,3,0,0,1,3224
2012-09-05,0,1,3,0,0,0,0
2012-09-06,0,0,1,0,0,1,3211
2012-09-07,0,1,3,0,0,0,0
2012-09-08,0,0,8,0,0,0,0
2012-09-09,0,0,0,0,0,1,2648
2012-09-10,0,1,3,0,0,1,4829
2012-09-11,0,0,1,0,0,1,6573
2012-09-12,0,1,0,0,0,0,1201
2012-09-13,0,1,0,0,0,0,0
2012-09-14,0,0,3,0,0,0,0
2012-09-15,0,1,0,0,0,0,0
2012-09-16,0,1,1,0,0,0,0
