TYPE,DATE,USAGE,UNITS,COST,NOTES
Natural gas usage,2012-10-31,1.02,therms,$0.97,
Natural gas usage,2012-11-01,2.04,therms,$2.05,
Natural gas usage,2012-11-02,1.02,therms,$1.03,
Natural gas usage,2012-11-03,1.02,therms,$1.03,
Natural gas usage,2012-11-04,1.02,therms,$1.03,
Natural gas usage,2012-11-05,1.02,therms,$1.03,
Natural gas usage,2012-11-06,1.02,therms,$1.03,
Natural gas usage,2012-11-07,1.02,therms,$1.03,
Natural gas usage,2012-11-08,1.02,therms,$1.03,
Natural gas usage,2012-11-09,2.05,therms,$2.06,
Natural gas usage,2012-11-10,0.00,therms,$0.00,
Natural gas usage,2012-11-11,1.02,therms,$1.03,
Natural gas usage,2012-11-12,2.05,therms,$2.06,
Natural gas usage,2012-11-13,2.05,therms,$2.05,
Natural gas usage,2012-11-14,1.02,therms,$1.03,
Natural gas usage,2012-11-15,1.02,therms,$1.03,
Natural gas usage,2012-11-16,1.02,therms,$1.03,
Natural gas usage,2012-11-17,1.02,therms,$1.03,
Natural gas usage,2012-11-18,2.05,therms,$2.05,
Natural gas usage,2012-11-19,1.03,therms,$1.03,
Natural gas usage,2012-11-20,1.03,therms,$1.03,
Natural gas usage,2012-11-21,1.03,therms,$1.03,
Natural gas usage,2012-11-22,1.03,therms,$1.03,
Natural gas usage,2012-11-23,1.03,therms,$1.03,
Natural gas usage,2012-11-24,1.03,therms,$1.03,
Natural gas usage,2012-11-25,1.03,therms,$1.03,
Natural gas usage,2012-11-26,1.02,therms,$1.03,
Natural gas usage,2012-11-27,2.05,therms,$2.06,
Natural gas usage,2012-11-28,1.02,therms,$1.03,
Natural gas usage,2012-11-29,1.02,therms,$1.03,
