Case ID,Opened,Closed,Status,Address,Category,Request Type,Request Details,Supervisor District,Neighborhood,Latitude,Longitude
1840882,12/31/2012 07:48 PM,,Open,Intersection of GRACE ST and HOWARD ST,Graffiti Private Property,Graffiti on Building_commercial Offensive,Graffiti on Building_commercial Offensive,6,South of Market,37.774378406,-122.413943261
1840451,12/31/2012 05:38 PM,,Open,"828 JONES ST, SAN FRANCISCO, CA, 94109",Graffiti Private Property,Graffiti on Building_residential Offensive,Graffiti on Building_residential Offensive,3,Downtown/Civic Center,37.789036189,-122.413384761
1840385,12/31/2012 05:12 PM,,Open,"1439 OCEAN AVE, SAN FRANCISCO, CA, 94112",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,11,Ocean View,37.72406194,-122.457654117
1840357,12/31/2012 05:01 PM,01/03/2013 06:12 AM,Closed,Intersection of EDNA ST and HEARST AVE,Graffiti Private Property,Graffiti on Building_other Offensive,Graffiti on Building_other Offensive,7,Sunnyside,37.730699262,-122.446572808
1840266,12/31/2012 04:40 PM,12/31/2012 05:12 PM,Closed,Intersection of BOSWORTH ST and DIAMOND ST,Graffiti Private Property,Graffiti on Building_other Offensive,Graffiti on Building_other Offensive,8,Sunnyside,37.733550366,-122.434144054
1840155,12/31/2012 04:20 PM,01/05/2013 06:16 AM,Closed,Intersection of BOSWORTH ST and DIAMOND ST,Graffiti Private Property,Graffiti on Building_other Offensive,Graffiti on Building_other Offensive,8,Sunnyside,37.733550366,-122.434144054
1840113,12/31/2012 04:12 PM,,Open,"6333 GEARY BLVD, SAN FRANCISCO, CA, 94121",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,1,Outer Richmond,37.779632171,-122.487387838
1840112,12/31/2012 04:12 PM,,Open,"3330 GEARY BLVD, SAN FRANCISCO, CA, 94118",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,2,Presidio Heights,37.781831183,-122.454769304
1839988,12/31/2012 03:52 PM,01/03/2013 06:12 AM,Closed,"1900 FILLMORE ST, SAN FRANCISCO, CA, 94115",Graffiti Public Property,Graffiti on Signal_box Not_Offensive,Graffiti on Signal_box Not_Offensive,5,Western Addition,37.78723949,-122.433335853
1839806,12/31/2012 03:12 PM,,Open,"816 SACRAMENTO ST, SAN FRANCISCO, CA, 94108",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,3,Chinatown,37.79346163,-122.406539386
