Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,2.32,2.41,2.31,2.36,16252000,2.36
2012-12-28,2.38,2.41,2.32,2.33,12846300,2.33
2012-12-27,2.41,2.44,2.38,2.42,10325500,2.42
2012-12-26,2.35,2.43,2.35,2.39,18406500,2.39
2012-12-24,2.31,2.40,2.30,2.33,6744400,2.33
2012-12-21,2.35,2.35,2.29,2.33,14359000,2.33
2012-12-20,2.40,2.42,2.35,2.38,8150200,2.38
2012-12-19,2.41,2.43,2.38,2.41,13445100,2.41
2012-12-18,2.46,2.46,2.36,2.38,18054600,2.38
2012-12-17,2.54,2.55,2.41,2.44,18127200,2.44
2012-12-14,2.64,2.70,2.50,2.54,15909100,2.54
2012-12-13,2.68,2.73,2.59,2.62,25277100,2.62
2012-12-12,2.46,2.68,2.46,2.63,25127600,2.63
2012-12-11,2.46,2.49,2.41,2.45,10074300,2.45
2012-12-10,2.55,2.56,2.39,2.43,14316400,2.43
2012-12-07,2.55,2.60,2.51,2.55,24657800,2.55
2012-12-06,2.46,2.55,2.42,2.49,41021400,2.49
2012-12-05,2.30,2.35,2.22,2.32,20234400,2.32
2012-12-04,2.29,2.33,2.25,2.25,18014000,2.25
2012-12-03,2.43,2.46,2.21,2.23,31584400,2.23
